Position,Company,Location
An Ostentatiously-Excitable Principal Research Assistant to Chief Scientist,The Hexagon Lavish,"Atlanta, GA"
Data Scientist,Xpert Staffing,"Atlanta, GA"
Data Analyst,Operation HOPE,"Atlanta, GA 30303 "
Manager of Data Engineering,McKinsey & Company,"Atlanta, GA 30318 "
"Junior to Mid-level Engineer, Geologist or Environmental Scientist",Wood,"Atlanta, GA"
Analyst - CIB Credit Research,SunTrust,"Atlanta, GA"
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,"Atlanta, GA 30338"
Health Scientist III-CPTS,Chenega Corporation,"Atlanta, GA"
"Senior Associate, Data Scientist",KPMG,"Atlanta, GA 30338"
Assistant Scientist (AR) SOM,Emory University,"Atlanta, GA"
Business Intelligence Data Science Analyst - Supply Chain,Newell Brands,"Atlanta, GA"
Data Scientist,Cotiviti,"Atlanta, GA"
Senior Structural Engineer-Transmission & Distribution,Burns & McDonnell,"Atlanta, GA 30309 "
Data Scientist,Relus Cloud,"Atlanta, GA"
Data Scientist,Inspire Brands,"Atlanta, GA"
Senior Electrical Engineer,Burns & McDonnell,"Atlanta, GA 30309 "
Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 "
"Data Scientist, Keying & Linking",Equifax,"Atlanta, GA"
Data Scientist,AirSage,"Atlanta, GA"
Data Scientist 1 – AP Forensics Team,The Home Depot,"Atlanta, GA"
Data Scientist - ICL,Georgia Tech Research Institute,"Atlanta, GA 30318 "
"Data Scientist, Online",The Home Depot,"Atlanta, GA"
Data Scientist - CONSULTANT Level - ORLANDO FLORIDA - We will help Relocate,Capgemini,"Atlanta, GA"
Senior Data Scientist,Catalina Marketing,"Atlanta, GA"
Business Intelligence Data Scientist - Supply Chain,Newell Brands,"Atlanta, GA"
Entry Level/Junior-Level Scientist,"Kleinfelder, Inc.","Atlanta, GA"
Scientist - Data Analysis,AMERICAN CANCER SOCIETY,"Atlanta, GA"
Data Scientist,SalesLoft,"Atlanta, GA"
Data Scientist,McKesson,"Atlanta, GA 30329"
Data Scientist,The Intersect Group,"Atlanta, GA 30328"
Health Scientist,Centers for Disease Control and Prevention,"Atlanta, GA"
Data Scientist,OM Partners,"Atlanta, GA"
Senior Data Scientist,Cotiviti,"Atlanta, GA"
Manager - Data Scientist ! Orlando!,Capgemini,"Atlanta, GA"
Scientist II,The Coca-Cola Company,"Atlanta, GA 30301 "
Lead Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 "
Senior Data Scientist,Norfolk Southern Corp,"Atlanta, GA 30309 "
"Data Scientist - Consultant Level - Orlando, Florida - we will assist with relocation",Capgemini,"Atlanta, GA"
Chief Deep Learning Scientist,YIWEI Medical Inc.,"Atlanta, GA"
Supervisory Health Scientist,Centers for Disease Control and Prevention,"Atlanta, GA"
Manager - Cognitive Data Scientist Natural Language Processing,KPMG,"Atlanta, GA 30338"
"Director, Data Scientist",KPMG,"Atlanta, GA 30338"
"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA"
