Index,Position,Salary Estimate,Rating,Company,Location,Industry
0,Senior Data Scientist,$111K-$181K (Glassdoor est.),3.5,"Hopper
3.5","New York, NY",Travel Agencies
1,"Data Scientist, Product Analytics",$111K-$181K (Glassdoor est.),4.5,"Noom US
4.5","New York, NY","Health, Beauty, & Fitness"
3,Data Analyst,$111K-$181K (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",Internet
5,Data Scientist,$111K-$181K (Glassdoor est.),2.9,"IFG Companies
2.9","New York, NY",Insurance Carriers
8,AI Scientist,$111K-$181K (Glassdoor est.),5.0,"Paige
5.0","New York, NY",Enterprise Software & Network Solutions
10,Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Quartet Health
3.9","New York, NY",Enterprise Software & Network Solutions
11,Data Scientist/Machine Learning,$111K-$181K (Glassdoor est.),4.4,"PulsePoint
4.4","New York, NY",Internet
12,"Data Scientist, Acorn AI Labs",$111K-$181K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",Enterprise Software & Network Solutions
13,Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
14,Data Scientist - Alpha Insights,$111K-$181K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",Investment Banking & Asset Management
15,Data Scientist,$111K-$181K (Glassdoor est.),3.0,"Affinity Solutions
3.0","New York, NY",Advertising & Marketing
16,"Data Scientist, Analytics",$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",Other Retail Stores
17,Data Scientist/ML Engineer,$111K-$181K (Glassdoor est.),3.3,"PA Consulting
3.3","New York, NY",Consulting
18,Data Scientist,$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","New York, NY",Other Retail Stores
20,"Data Scientist, Disney+ Personalization",$111K-$181K (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY",Motion Picture Production & Distribution
21,"Senior Data Scientist, Data Science Operations",$111K-$181K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",Internet
23,Senior Data Engineer (Healthcare Domain experience required),$111K-$181K (Glassdoor est.),3.4,"Enterprise Integration
3.4","New York, NY",IT Services
